trial,auc,w_exp026_attention_gpu,w_exp026_fttransformer_lite_gpu
39,0.9330067252747252,0.051048739738535,0.9489512602614649
40,0.9344212747252747,0.7566828308376615,0.24331716916233845
41,0.9344632527472528,0.738895350889524,0.2611046491104761
42,0.9342423736263736,0.8198233521835293,0.18017664781647075
43,0.9345932747252746,0.4854394407549163,0.5145605592450836
44,0.9345676483516484,0.6827885451786455,0.31721145482135454
45,0.934327824175824,0.7928074534427265,0.20719254655727362
46,0.9341926153846152,0.29228219735042454,0.7077178026495754
47,0.9332487472527473,0.08893950521500264,0.9110604947849974
48,0.9343132307692308,0.7969142891947983,0.20308571080520163
49,0.934132923076923,0.2741780785408714,0.7258219214591285
50,0.9343021978021979,0.8009859297177933,0.19901407028220663
51,0.9337564835164835,0.18275124756405678,0.8172487524359432
52,0.9340318241758242,0.2465865407202125,0.7534134592797874
53,0.934610989010989,0.6467201370466924,0.3532798629533076
54,0.9344996483516481,0.7179740374098981,0.28202596259010204
55,0.9344647472527472,0.7374302527028392,0.26256974729716076
56,0.9332713406593407,0.09266360880136756,0.9073363911986324
57,0.9345160439560439,0.42748971779742206,0.572510282202578
58,0.9340198241758241,0.24280484776300715,0.7571951522369929
59,0.9344117802197803,0.37679211720184874,0.6232078827981513
60,0.9346367912087911,0.5834876143451218,0.4165123856548782
61,0.934066065934066,0.8726342403238162,0.12736575967618372
62,0.9344945494505493,0.7235363867082634,0.2764636132917366
63,0.9339974945054944,0.23655604836927951,0.7634439516307205
64,0.9331428571428572,0.07158521473317289,0.9284147852668271
65,0.9343940219780219,0.7675312409727811,0.23246875902721878
66,0.9327454945054945,0.016518525569898766,0.9834814744301013
67,0.9343583296703296,0.35184852525050225,0.6481514747494976
68,0.933716967032967,0.17385946437826175,0.8261405356217384
69,0.9337037362637363,0.9463030519810373,0.05369694801896284
70,0.9339908571428571,0.8896681944414697,0.11033180555853023
71,0.9341456263736264,0.8515350106661261,0.14846498933387386
72,0.9343760879120879,0.7746232369892749,0.225376763010725
73,0.9343704175824176,0.7770481541141616,0.2229518458858385
74,0.9346307252747252,0.5960192798816303,0.40398072011836966
75,0.93462210989011,0.6147032926219209,0.38529670737807903
76,0.9336475164835164,0.9552426054620005,0.04475739453799964
77,0.9344404835164835,0.3874659520217885,0.6125340479782114
78,0.9335730989010989,0.14578479652280407,0.8542152034771959
79,0.9330466373626374,0.05692571364264103,0.9430742863573589
80,0.9343606153846153,0.3527105100215366,0.6472894899784635
81,0.9336753846153845,0.9504957364848154,0.04950426351518464
82,0.9334519560439563,0.12454076598729688,0.8754592340127031
83,0.9343794725274724,0.7733149547464767,0.22668504525352334
84,0.9344032967032967,0.37156790252663413,0.6284320974733657
85,0.934181010989011,0.8413160429720034,0.15868395702799656
86,0.9345665054945054,0.6835513095284493,0.3164486904715507
87,0.9334532307692308,0.12483014815539316,0.8751698518446068
88,0.9341972307692308,0.2935551684749589,0.706444831525041
89,0.934623032967033,0.619355935195066,0.38064406480493396
90,0.9345468131868131,0.44627723652059154,0.5537227634794083
91,0.9345443076923077,0.4447056029828542,0.5552943970171459
92,0.9345896263736264,0.4826835238955366,0.5173164761044635
93,0.9345434725274726,0.44399670516830775,0.5560032948316923
94,0.9340321758241759,0.8795051613236196,0.12049483867638036
95,0.9346202637362638,0.6239019084127824,0.37609809158721774
96,0.9345357362637363,0.7002894184572331,0.29971058154276686
97,0.9334137582417582,0.11792546136835752,0.8820745386316425
98,0.9342079120879119,0.8325489437070883,0.1674510562929116
99,0.9331513846153846,0.073028843990805,0.9269711560091951
100,0.9346246153846153,0.6095555322916207,0.39044446770837943
101,0.9337305934065934,0.17683176869250788,0.8231682313074921
102,0.9341635164835166,0.8463282176595041,0.15367178234049594
103,0.9327608351648351,0.01822115721610875,0.9817788427838913
104,0.9331238241758242,0.06790843314733587,0.932091566852664
105,0.9335062857142856,0.13478002883654452,0.8652199711634555
106,0.9340854945054945,0.26174118745590186,0.7382588125440981
107,0.933557978021978,0.1433569408959479,0.856643059104052
108,0.9342366593406592,0.30624077228901486,0.6937592277109853
109,0.9346231208791209,0.5183536787058829,0.48164632129411705
110,0.9338117802197802,0.1949401584443941,0.805059841555606
111,0.9345209230769231,0.42859673530727266,0.5714032646927274
112,0.9346274725274724,0.5264168884295,0.4735831115705
113,0.9345169670329669,0.42769175299001433,0.5723082470099856
114,0.9327961758241757,0.02237062828908431,0.9776293717109158
115,0.9344433846153846,0.7477605684131224,0.2522394315868775
116,0.9340502857142858,0.25225383508809746,0.7477461649119027
117,0.9341107252747254,0.8614029751622001,0.13859702483779995
118,0.9342998681318682,0.32557388065945725,0.6744261193405429
119,0.9332256263736264,0.08482749265714423,0.9151725073428557
120,0.9346226813186813,0.6189320513443648,0.3810679486556351
121,0.934455076923077,0.7421229232162457,0.2578770767837543
122,0.9339962637362638,0.23625470711027516,0.7637452928897247
123,0.9344394285714286,0.7501640130810094,0.2498359869189906
124,0.9345787252747252,0.6758223720847688,0.3241776279152312
125,0.9345790329670329,0.6733256440625928,0.32667435593740735
126,0.9344464175824175,0.3913879096997144,0.6086120903002856
127,0.9339483956043956,0.8983778424475178,0.10162215755248226
128,0.9345898021978022,0.6664918510466625,0.3335081489533374
129,0.9340065054945057,0.8857965608693067,0.11420343913069339
130,0.9335412307692308,0.14039537733794255,0.8596046226620575
131,0.9334864615384615,0.1304264513937346,0.8695735486062655
132,0.9342702417582418,0.8114169292032,0.1885830707968001
133,0.9338891428571431,0.9108457581925595,0.08915424180744047
134,0.93413221978022,0.8563704909348163,0.14362950906518374
